review_group;result_id;result_name;assumption_id;short_assumption;current_detail;review_status;proposed_revision;how_to_check;what_to_report;review_notes
ANOVA / covariance models;ancova;ANCOVA;ancova.one_metric_dependent_variable;One metric dependent variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.one_or_more_categorical_independent_variables;One or more categorical independent variables;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category.;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.one_or_more_metric_covariates;One or more metric covariates;Covariates should be quantitative predictors measured before or independently of the grouping variable. Check their scale, missingness, outliers, and whether they are conceptually appropriate controls.;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.linear_relation_between_covariates_and_the_dependent_varia;Linear relation between covariates and the dependent variable;The association should be adequately described by a straight-line relation on the model scale. Scatterplots, partial residual plots, and fitted-vs-residual plots help detect curvature or threshold patterns.;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.homogeneity_of_regression_slopes;Homogeneity of regression slopes;The relation between each covariate and the dependent variable should be similar across groups. Check covariate-by-group interactions;OK;;;;
ANOVA / covariance models;ancova;ANCOVA;ancova.normally_distributed_residuals_and_homogeneity_of_variance;Normally distributed residuals and homogeneity of variance;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, Q-Q plots, residual plots, and outliers;OK;;;;
Regression / prediction models;logisticRegression;Binary logistic regression;logisticRegression.dichotomous_outcome_variable;Dichotomous outcome variable;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them.;OK;;;;
Regression / prediction models;logisticRegression;Binary logistic regression;logisticRegression.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Regression / prediction models;logisticRegression;Binary logistic regression;logisticRegression.no_strong_multicollinearity;No strong multicollinearity;Predictors should not be nearly redundant. Inspect correlations, variance inflation factors, condition indices, or unstable coefficients that change markedly when other predictors are added.;OK;;;;
Regression / prediction models;logisticRegression;Binary logistic regression;logisticRegression.sufficient_number_of_events;Sufficient number of events;There should be enough outcome events in each modeled category for stable estimation. Sparse outcomes can produce wide confidence intervals, separation, or unstable odds ratios.;OK;;;;
Mean / median / variance tests;binomialTest;Binomial test;binomialTest.two_level_categorical_variable;Two-level categorical variable;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them.;OK;;;;
Mean / median / variance tests;binomialTest;Binomial test;binomialTest.theoretically_expected_proportion_is_defined;Theoretically expected proportion is defined;The model structure or hypothesis should be motivated before looking at the result. Document why paths, or expected proportions were chosen.;OK;;;;
Mean / median / variance tests;binomialTest;Binomial test;binomialTest.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Mean / median / variance tests;binomialTest;Binomial test;binomialTest.fixed_number_of_trials_or_cases;Fixed number of trials or cases;The number of observations or trials should be determined by the design rather than by stopping after seeing the result. The expected probability should be defined before the observed count is evaluated.;OK;;;;
Association / frequency tests;chiSquareVariance;Chi-square test for one variance;chiSquareVariance.one_metric_variable;One metric variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Association / frequency tests;chiSquareVariance;Chi-square test for one variance;chiSquareVariance.known_or_theoretically_justified_population_variance;Known or theoretically justified population variance;The model structure or hypothesis should be motivated before looking at the result. Document why  population variance was chosen.;OK;;;;
Association / frequency tests;chiSquareVariance;Chi-square test for one variance;chiSquareVariance.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Association / frequency tests;chiSquareVariance;Chi-square test for one variance;chiSquareVariance.normality_in_the_population;Normality in the population;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, Q-Q plots, residual plots, and outliers;OK;;;;
Association / frequency tests;chiSquareAssociation;Chi-square test of independence;chiSquareAssociation.categorical_variables;Categorical variables;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Association / frequency tests;chiSquareAssociation;Chi-square test of independence;chiSquareAssociation.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Association / frequency tests;chiSquareAssociation;Chi-square test of independence;chiSquareAssociation.sufficient_expected_cell_counts;Sufficient expected cell counts;Expected frequencies should be large enough for asymptotic approximations to work. If many expected cells are small, combine substantively similar categories, use an exact test where available, or choose a model designed for sparse counts.;OK;;;;
Machine learning / exploratory grouping;clusterAnalysis;Cluster analysis;clusterAnalysis.features_describing_people_or_objects;Features describing people or objects;The variables used to define similarity should be relevant to the grouping goal. Remove identifiers, outcomes that should not define clusters, duplicate measures, and variables whose scale would dominate the solution.;OK;;;;
Machine learning / exploratory grouping;clusterAnalysis;Cluster analysis;clusterAnalysis.appropriate_scaling_or_standardisation;Appropriate scaling or standardisation;Put predictors on comparable scales before distance-based or component-based methods when units differ. Otherwise variables with larger numeric ranges can dominate the result.;OK;;;;
Machine learning / exploratory grouping;clusterAnalysis;Cluster analysis;clusterAnalysis.meaningful_distance_or_similarity_measure;Meaningful distance or similarity measure;The chosen distance or similarity measure should match the meaning of the variables and the research question. Check whether Euclidean, Manhattan, correlation-based, or other distances are most defensible.;OK;;;;
Machine learning / exploratory grouping;clusterAnalysis;Cluster analysis;clusterAnalysis.cluster_solution_is_substantively_interpretable;Cluster solution is substantively interpretable;The chosen grouping should make substantive sense, not merely optimize an algorithmic criterion. Compare alternative numbers of clusters and inspect whether clusters are stable, interpretable, and useful for the research question.;OK;;;;
Latent / exploratory structure;confirmatoryFactorAnalysis;Confirmatory factor analysis (CFA);confirmatoryFactorAnalysis.latent_constructs_are_predefined;Latent constructs are predefined;The model structure or hypothesis should be motivated before looking at the result. Document why paths and components were chosen.;OK;;;;
Latent / exploratory structure;confirmatoryFactorAnalysis;Confirmatory factor analysis (CFA);confirmatoryFactorAnalysis.multiple_indicators_per_factor;Multiple indicators per factor;For Confirmatory factor analysis (CFA), this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Latent / exploratory structure;confirmatoryFactorAnalysis;Confirmatory factor analysis (CFA);confirmatoryFactorAnalysis.the_item_factor_assignment_is_theoretically_justified;The item-factor assignment is theoretically justified;The model structure or hypothesis should be motivated before looking at the result. Document why the item were chosen.;OK;;;;
Latent / exploratory structure;confirmatoryFactorAnalysis;Confirmatory factor analysis (CFA);confirmatoryFactorAnalysis.adequate_sample_size;Adequate sample size;There should be enough information for the model or test to estimate effects reliably.;OK;;;;
Latent / exploratory structure;confirmatoryFactorAnalysis;Confirmatory factor analysis (CFA);confirmatoryFactorAnalysis.model_fit_and_local_misfit_should_be_evaluated;Model fit and local misfit should be evaluated;Evaluate global fit, local residuals, parameter estimates, and theoretically plausible alternatives. A statistically acceptable fit does not by itself make the model substantively correct.;OK;;;;
Meta-analysis;metaCorrelationAnalysis;Correlation-coefficient meta-analysis;metaCorrelationAnalysis.correlation_and_sample_size_available_for_each_study;Correlation and sample size available for each study;There should be enough information for the model or test to estimate effects reliably. Consider the number of groups, predictors, parameters, and studies rather than only the total N.;OK;;;;
Meta-analysis;metaCorrelationAnalysis;Correlation-coefficient meta-analysis;metaCorrelationAnalysis.studies_measure_comparable_constructs;Studies measure comparable constructs;For Correlation-coefficient meta-analysis, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Meta-analysis;metaCorrelationAnalysis;Correlation-coefficient meta-analysis;metaCorrelationAnalysis.moderator_and_study_label_can_be_added;Moderator and Study Label can be added;For Correlation-coefficient meta-analysis, this condition should be checked against the research design and variable coding, before relying on the result.;OK;;;;
Meta-analysis;metaCorrelationAnalysis;Correlation-coefficient meta-analysis;metaCorrelationAnalysis.select_fixed_random_effects_moderator_analyses_and_publica;Select fixed/random effects, moderator analyses, and publication-bias checks in the model options;The data contain grouping structures such as repeated measures within participants or athletes within teams could be suitable for fixed effect. The random-effect structure should match the design question when heterogenity is expected. Publication bias should be examined with several methods. Moderator should be theorically justified;OK;;;;
Machine learning / exploratory grouping;decisionTreeClassifier;Decision tree classifier;decisionTreeClassifier.categorical_outcome_variable;Categorical outcome variable;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Machine learning / exploratory grouping;decisionTreeClassifier;Decision tree classifier;decisionTreeClassifier.training_test_split_or_cross_validation;Training/test split or cross-validation;Evaluate predictive models on data not used to fit them. Use train/test splits, cross-validation, or external validation and report metrics that match the outcome and class balance.;OK;;;;
Machine learning / exploratory grouping;decisionTreeClassifier;Decision tree classifier;decisionTreeClassifier.pruning_or_depth_control_to_reduce_overfitting;Pruning or depth control to reduce overfitting;Flexible models can learn noise. Limit tree depth, prune, tune hyperparameters, or use validation data to check whether performance generalizes beyond the training sample.;OK;;;;
Machine learning / exploratory grouping;decisionTreeClassifier;Decision tree classifier;decisionTreeClassifier.inspect_class_distribution;Inspect class distribution;The model family should match the outcome scale and data-generating process, such as Gaussian for continuous outcomes, binomial/logit for binary outcomes, Poisson or negative binomial for counts, and cumulative links for ordinal outcomes.;OK;;;;
Regression / prediction models;decisionTreeRegression;Decision tree regression;decisionTreeRegression.metric_outcome_variable;Metric outcome variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Regression / prediction models;decisionTreeRegression;Decision tree regression;decisionTreeRegression.training_test_split_or_cross_validation;Training/test split or cross-validation;Evaluate predictive models on data not used to fit them. Use train/test splits, cross-validation, or external validation and report metrics that match the outcome and class balance.;OK;;;;
Regression / prediction models;decisionTreeRegression;Decision tree regression;decisionTreeRegression.pruning_or_depth_control_to_reduce_overfitting;Pruning or depth control to reduce overfitting;Flexible models can learn noise. Limit tree depth, prune, tune hyperparameters, or use validation data to check whether performance generalizes beyond the training sample.;OK;;;;
Regression / prediction models;decisionTreeRegression;Decision tree regression;decisionTreeRegression.predictors_are_meaningfully_coded;Predictors are meaningfully coded;Variable coding should match the analysis: categories, contrasts, missing values, dummy variables, and direction of scales should be checked before interpretation.;OK;;;;
Regression / prediction models;discriminantAnalysis;Discriminant analysis;discriminantAnalysis.nominal_dependent_variable_with_known_groups;Nominal dependent variable with known groups;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Regression / prediction models;discriminantAnalysis;Discriminant analysis;discriminantAnalysis.interval_scaled_independent_variables;Interval-scaled independent variables;For Discriminant analysis, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Regression / prediction models;discriminantAnalysis;Discriminant analysis;discriminantAnalysis.multivariate_normality_within_groups;Multivariate normality within groups;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, Q-Q plots, residual plots, and outliers;OK;;;;
Regression / prediction models;discriminantAnalysis;Discriminant analysis;discriminantAnalysis.similar_covariance_matrices;Similar covariance matrices;Groups should have broadly similar covariance matrices among the dependent variables or predictors. Large differences can make multivariate tests or discriminant functions unstable, especially with small or unequal group sizes.;OK;;;;
Regression / prediction models;discriminantAnalysis;Discriminant analysis;discriminantAnalysis.adequate_group_sizes;Adequate group sizes;There should be enough information for the model or test to estimate effects reliably. Consider the number of groups, predictors, parameters, events, clusters, and studies rather than only the total N.;OK;;;;
Meta-analysis;metaEffectSizeAnalysis;Effect-size meta-analysis;metaEffectSizeAnalysis.effect_size_available_for_each_study;Effect size available for each study;Each study should provide a comparable effect estimate and a valid measure of uncertainty. Check coding direction, scale, transformation, and whether all studies use the same effect-size metric.;OK;;;;
Meta-analysis;metaEffectSizeAnalysis;Effect-size meta-analysis;metaEffectSizeAnalysis.variance_or_standard_error_available_for_each_effect_size;Variance or standard error available for each effect size;Each study should provide a comparable effect estimate and a valid measure of uncertainty. Check coding direction, scale, transformation, and whether all studies use the same effect-size metric.;OK;;;;
Meta-analysis;metaEffectSizeAnalysis;Effect-size meta-analysis;metaEffectSizeAnalysis.moderator_and_study_label_can_be_added;Moderator and Study Label can be added;For Effect-size meta-analysis, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Meta-analysis;metaEffectSizeAnalysis;Effect-size meta-analysis;metaEffectSizeAnalysis.effect_size_type;Effect size type for each study;Effects size for studies with within and between participants design should not interchangable. Transform according to pre-registered decision.;OK;;;;
Meta-analysis;metaEffectSizeAnalysis;Effect-size meta-analysis;metaEffectSizeAnalysis.select_fixed_random_effects_moderator_analyses_and_publica;Select fixed/random effects, moderator analyses, and publication-bias checks in the model options;The data contain grouping structures such as repeated measures within participants or athletes within teams. The random-effect structure should match the design question and should be supported by enough clusters and observations per cluster.;OK;;;;
Mean / median / variance tests;varianceFTest;F-test for comparing two variances;varianceFTest.two_independent_samples;Two independent samples;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Mean / median / variance tests;varianceFTest;F-test for comparing two variances;varianceFTest.metric_outcome_variable;Metric outcome variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Mean / median / variance tests;varianceFTest;F-test for comparing two variances;varianceFTest.normality_in_both_populations;Normality in both populations;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, Q-Q plots, residual plots, and outliers;OK;;;;
Mean / median / variance tests;varianceFTest;F-test for comparing two variances;varianceFTest.sensitive_to_outliers_and_skew;Sensitive to outliers and skew;A few extreme or influential observations should not dominate the result. Inspect raw data, scatterplots, standardized residuals, leverage, and influence diagnostics before deciding whether values are errors, legitimate extremes, or reasons to use robust methods.;OK;;;;
Latent / exploratory structure;factorAnalysis;Factor analysis;factorAnalysis.several_metric_or_approximately_metric_variables;Several metric or approximately metric variables;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Latent / exploratory structure;factorAnalysis;Factor analysis;factorAnalysis.meaningful_correlations_among_variables;Meaningful correlations among variables;Variables should share enough common information for dimension reduction or latent structure to be meaningful. Very weak correlations suggest little shared structure;OK;;;;
Latent / exploratory structure;factorAnalysis;Factor analysis;factorAnalysis.adequate_sample_size;Adequate sample size;There should be enough information for the model or test to estimate effects reliably. Consider the number of  predictors, or parameters rather than only the total N.;OK;;;;
Latent / exploratory structure;factorAnalysis;Factor analysis;factorAnalysis.interpretable_factor_structure;Interpretable factor structure;The result should be explainable in the context of the construct, measurement scale, and research design. Avoid treating purely algorithmic groupings or dimensions as meaningful without substantive validation.;OK;;;;
Latent / exploratory structure;factorAnalysis;Factor analysis;factorAnalysis.no_a_priori_hypothesis_about_the_relationships_among_the_f;No a priori hypothesis about the relationships among the factors;The model structure or hypothesis should be motivated before looking at the result. Document why paths, factors, covariates, subgroups, or expected proportions were chosen.;OK;;;;
ANOVA / covariance models;twoWayAnova;Factorial ANOVA (two or more factors);twoWayAnova.two_or_more_categorical_independent_factors;Two or more categorical independent factors;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
ANOVA / covariance models;twoWayAnova;Factorial ANOVA (two or more factors);twoWayAnova.metric_outcome_variable;Metric outcome variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
ANOVA / covariance models;twoWayAnova;Factorial ANOVA (two or more factors);twoWayAnova.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
ANOVA / covariance models;twoWayAnova;Factorial ANOVA (two or more factors);twoWayAnova.normality_within_cells;Normality within cells;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, Q-Q plots, residual plots, and outliers;OK;;;;
ANOVA / covariance models;twoWayAnova;Factorial ANOVA (two or more factors);twoWayAnova.homogeneity_of_variances;Homogeneity of variances;Groups or fitted values should show roughly comparable variability. Use residual plots, group standard deviations, Levene-type checks, or robust/Welch alternatives when variability differs strongly.;OK;;;;
ANOVA / covariance models;twoWayRepeatedAnova;Factorial repeated-measures ANOVA (two or more factors);twoWayRepeatedAnova.at_least_one_repeated_measures_factor;At least one repeated-measures factor;For Factorial repeated-measures ANOVA (two or more factors), this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
ANOVA / covariance models;twoWayRepeatedAnova;Factorial repeated-measures ANOVA (two or more factors);twoWayRepeatedAnova.metric_outcome_variable;Metric outcome variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
ANOVA / covariance models;twoWayRepeatedAnova;Factorial repeated-measures ANOVA (two or more factors);twoWayRepeatedAnova.sphericity_or_suitable_correction;Sphericity or suitable correction;For repeated-measures factors with more than two levels, the variances of the pairwise differences should be similar. If this is doubtful, report a correction such as Greenhouse-Geisser or use a mixed-model approach.;OK;;;;
ANOVA / covariance models;twoWayRepeatedAnova;Factorial repeated-measures ANOVA (two or more factors);twoWayRepeatedAnova.balanced_assignment_of_time_points_or_conditions;Balanced assignment of time points or conditions;For Factorial repeated-measures ANOVA (two or more factors), this condition should be checked against the research design, variable coding. Ensures that every articipant, or item experiences different conditions or time points equally;OK;;;;
Association / frequency tests;fisher;Fisher's exact test;fisher.dichotomous_categorical_variables;Dichotomous categorical variables;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Association / frequency tests;fisher;Fisher's exact test;fisher.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Association / frequency tests;fisher;Fisher's exact test;fisher.small_expected_counts;Small expected counts;Expected frequencies should be large enough for asymptotic approximations to work. If many expected cells are small, combine substantively similar categories, use an exact test where available, or choose a model designed for sparse counts.;OK;;;;
Meta-analysis;fixedEffectMetaAnalysis;Fixed-effect meta-analysis;fixedEffectMetaAnalysis.several_independent_studies_or_effect_sizes;Several independent studies or effect sizes;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Meta-analysis;fixedEffectMetaAnalysis;Fixed-effect meta-analysis;fixedEffectMetaAnalysis.common_effect_size_and_standard_error_variance_available;Common effect size and standard error/variance available;Each study should provide a comparable effect estimate and a valid measure of uncertainty. Check coding direction, scale, transformation, and whether all studies use the same effect-size metric.;OK;;;;
Meta-analysis;fixedEffectMetaAnalysis;Fixed-effect meta-analysis;fixedEffectMetaAnalysis.studies_are_substantively_very_similar;Studies are substantively very similar;For Fixed-effect meta-analysis, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Meta-analysis;fixedEffectMetaAnalysis;Fixed-effect meta-analysis;fixedEffectMetaAnalysis.heterogeneity_is_low;Heterogeneity is low;Effects may still differ across studies or subgroups. Report heterogeneity statistics and interpret them together with study design, populations, measures, and interventions.;OK;;;;
Mean / median / variance tests;friedman;Friedman test;friedman.several_paired_measurements;Several paired measurements;Measurements must be correctly linked within the same person, object, team, study, or matched pair. The analysis uses these links, so missing or incorrectly matched rows can change both the estimate and the standard error.;OK;;;;
Mean / median / variance tests;friedman;Friedman test;friedman.at_least_ordinal_values;At least ordinal values;The values must at least have a meaningful order. The exact distance between adjacent response categories does not need to be equal, which is why rank-based or ordinal models can be more appropriate than mean-based tests.;OK;;;;
Mean / median / variance tests;friedman;Friedman test;friedman.same_cases_in_all_conditions;Same cases in all conditions;Measurements must be correctly linked within the same person, object, team, study, or matched pair. The analysis uses these links, so missing or incorrectly matched rows can change both the estimate and the standard error.;OK;;;;
