review_group;result_id;result_name;assumption_id;short_assumption;current_detail;review_status;proposed_revision;how_to_check;what_to_report;review_notes
Mixed models;generalizedLinearMixedModel;Generalized linear mixed model;generalizedLinearMixedModel.dichotomous_categorical_or_count_dependent_variable;Dichotomous, categorical, or count dependent variable;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Mixed models;generalizedLinearMixedModel;Generalized linear mixed model;generalizedLinearMixedModel.appropriate_link_function_and_distribution;Appropriate link function and distribution;The model family should match the outcome scale and data-generating process, such as Gaussian for continuous outcomes, binomial/logit for binary outcomes, Poisson or negative binomial for counts, and cumulative links for ordinal outcomes.;OK;;;;
Mixed models;generalizedLinearMixedModel;Generalized linear mixed model;generalizedLinearMixedModel.clusters_or_persons_entered_as_random_effects;Clusters or persons entered as random effects;The data contain grouping structures such as repeated measures within participants or athletes within teams. The random-effect structure should match the design question and should be supported by enough clusters and observations per cluster.;OK;;;;
Mixed models;generalizedLinearMixedModel;Generalized linear mixed model;generalizedLinearMixedModel.adequate_events_per_parameter;Adequate events per parameter;There should be enough information for the model or test to estimate effects reliably. Consider the number of groups, predictors and parameters rather than only the total N.;OK;;;;
Mean / median / variance tests;independentT;Independent-samples t-test;independentT.two_independent_groups;Two independent groups;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Mean / median / variance tests;independentT;Independent-samples t-test;independentT.metric_outcome_variable;Metric outcome variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Mean / median / variance tests;independentT;Independent-samples t-test;independentT.approximate_normality;Approximate normality;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, normality test, Q-Q plots, residual plots, and outliers;OK;;;;
Mean / median / variance tests;independentT;Independent-samples t-test;independentT.equal_variances_or_welch_correction;Equal variances or Welch correction;Groups or fitted values should show roughly comparable variability. Use residual plots, group standard deviations, Levene-type checks, or robust/Welch alternatives when variability differs strongly.;OK;;;;
Machine learning / exploratory grouping;knnClassifier;k-nearest neighbors classifier;knnClassifier.categorical_outcome_variable;Categorical outcome variable;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Machine learning / exploratory grouping;knnClassifier;k-nearest neighbors classifier;knnClassifier.scaled_standardised_predictors;Scaled/standardised predictors;Put predictors on comparable scales before distance-based or component-based methods when units differ. Otherwise variables with larger numeric ranges can dominate the result.;OK;;;;
Machine learning / exploratory grouping;knnClassifier;k-nearest neighbors classifier;knnClassifier.meaningful_distance_metric;Meaningful distance metric;The chosen distance or similarity measure should match the meaning of the variables and the research question. Check whether Euclidean, Manhattan, correlation-based, or other distances are most defensible.;OK;;;;
Machine learning / exploratory grouping;knnClassifier;k-nearest neighbors classifier;knnClassifier.choose_k_and_weighting_using_validation;Choose k and weighting using validation;Evaluate predictive models on data not used to fit them. Use train/test splits, cross-validation, or external validation and report metrics that match the outcome and class balance.;OK;;;;
Regression / prediction models;knnRegression;k-nearest neighbors regression;knnRegression.metric_outcome_variable;Metric outcome variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Regression / prediction models;knnRegression;k-nearest neighbors regression;knnRegression.scaled_standardised_predictors;Scaled/standardised predictors;Put predictors on comparable scales before distance-based or component-based methods when units differ. Otherwise variables with larger numeric ranges can dominate the result.;OK;;;;
Regression / prediction models;knnRegression;k-nearest neighbors regression;knnRegression.meaningful_distance_metric;Meaningful distance metric;The chosen distance or similarity measure should match the meaning of the variables and the research question. Check whether Euclidean, Manhattan, correlation-based, or other distances are most defensible.;OK;;;;
Regression / prediction models;knnRegression;k-nearest neighbors regression;knnRegression.choose_k_using_validation;Choose k using validation;Evaluate predictive models on data not used to fit them. Use train/test splits, cross-validation, or external validation and report metrics that match the outcome and class balance.;OK;;;;
Association / frequency tests;kendall;Kendall's rank correlation;kendall.at_least_ordinal_scale_level;At least ordinal scale level;The values must at least have a meaningful order. The exact distance between adjacent response categories does not need to be equal, which is why rank-based or ordinal models can be more appropriate than mean-based tests.;OK;;;;
Association / frequency tests;kendall;Kendall's rank correlation;kendall.monotonic_relationship;Monotonic relationship;As one variable increases, the other should tend to move consistently upward or downward, even if the relation is not linear. A scatterplot or rank plot is usually the clearest check.;OK;;;;
Association / frequency tests;kendall;Kendall's rank correlation;kendall.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Association / frequency tests;kendall;Kendall's rank correlation;kendall.useful_with_ties_or_smaller_samples;Useful with ties or smaller samples;For Kendall's rank correlation, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Mean / median / variance tests;kruskalWallis;Kruskal-Wallis test;kruskalWallis.several_independent_groups;Several independent groups;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Mean / median / variance tests;kruskalWallis;Kruskal-Wallis test;kruskalWallis.at_least_ordinal_outcome;At least ordinal outcome;The values must at least have a meaningful order. The exact distance between adjacent response categories does not need to be equal, which is why rank-based or ordinal models can be more appropriate than mean-based tests.;OK;;;;
Mean / median / variance tests;kruskalWallis;Kruskal-Wallis test;kruskalWallis.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Mixed models;linearMixedModel;Linear mixed model;linearMixedModel.metric_dependent_variable;Metric dependent variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Mixed models;linearMixedModel;Linear mixed model;linearMixedModel.observations_nested_within_people_teams_or_measurement_occ;Observations nested within people, teams, or measurement occasions;The data contain grouping structures such as repeated measures within participants or athletes within teams. The random-effect structure should match the design question and should be supported by enough clusters and observations per cluster.;OK;;;;
Mixed models;linearMixedModel;Linear mixed model;linearMixedModel.random_effects_are_theoretically_justified;Random effects are theoretically justified;The data contain grouping structures such as repeated measures within participants or athletes within teams. The random-effect structure should match the design question and should be supported by enough clusters and observations per cluster.;OK;;;;
Mixed models;linearMixedModel;Linear mixed model;linearMixedModel.check_residual_diagnostics_and_variance_structure;Check residual diagnostics and variance structure;Inspect residual plots, Q-Q plots, fitted-vs-residual patterns, and the estimated variance components. For mixed models, check whether the random-effect structure is plausible and whether residual variance differs across groups or time points.;OK;;;;
Regression / prediction models;linearRegression;Linear regression;linearRegression.metric_outcome_variable;Metric outcome variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Regression / prediction models;linearRegression;Linear regression;linearRegression.linear_relationships;Linear relationships;The association should be adequately described by a straight-line relation on the model scale. Scatterplots, partial residual plots, and fitted-vs-residual plots help detect curvature or threshold patterns.;OK;;;;
Regression / prediction models;linearRegression;Linear regression;linearRegression.independent_residuals;Independent residuals;Model errors should not show systematic dependence across time, persons, groups, or measurement order. Check the study design first, then inspect residual plots or autocorrelation if observations are ordered.;OK;;;;
Regression / prediction models;linearRegression;Linear regression;linearRegression.homoscedasticity_and_residual_diagnostics;Homoscedasticity and residual diagnostics;Groups or fitted values should show roughly comparable variability. Use residual plots, group standard deviations, Levene-type checks, or robust/Welch alternatives when variability differs strongly.;OK;;;;
Regression / prediction models;linearRegression;Linear regression;linearRegression.prediction_or_association_not_causality_by_itself;Prediction or association, not causality by itself;The statistical model alone does not establish causality. Causal interpretation requires design support such as randomization, temporal ordering, strong theory, careful confounder control, and sensitivity analysis.;OK;;;;
Regression / prediction models;logLinearModel;Log-linear model;logLinearModel.several_nominal_variables;Several nominal variables;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Regression / prediction models;logLinearModel;Log-linear model;logLinearModel.frequency_data_in_a_contingency_table;Frequency data in a contingency table;For Log-linear model, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Regression / prediction models;logLinearModel;Log-linear model;logLinearModel.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Regression / prediction models;logLinearModel;Log-linear model;logLinearModel.sufficient_expected_cell_counts;Sufficient expected cell counts;Expected frequencies should be large enough for asymptotic approximations to work. If many expected cells are small, combine substantively similar categories, use an exact test where available, or choose a model designed for sparse counts.;OK;;;;
ANOVA / covariance models;mancova;MANCOVA;mancova.two_or_more_metric_dependent_variables;Two or more metric dependent variables;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
ANOVA / covariance models;mancova;MANCOVA;mancova.one_or_more_categorical_independent_variables;One or more categorical independent variables;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
ANOVA / covariance models;mancova;MANCOVA;mancova.one_or_more_metric_covariates;One or more metric covariates;Covariates should be quantitative predictors measured before or independently of the grouping variable. Check their scale, missingness, outliers, and whether they are conceptually appropriate controls.;OK;;;;
ANOVA / covariance models;mancova;MANCOVA;mancova.linear_relation_between_covariates_and_dependent_variables;Linear relation between covariates and dependent variables;The association should be adequately described by a straight-line relation on the model scale. Scatterplots, partial residual plots, and fitted-vs-residual plots help detect curvature or threshold patterns.;OK;;;;
ANOVA / covariance models;mancova;MANCOVA;mancova.homogeneity_of_regression_slopes;Homogeneity of regression slopes;The relation between each covariate and the dependent variable should be similar across groups. Check covariate-by-group interactions;OK;;;;
ANOVA / covariance models;mancova;MANCOVA;mancova.multivariate_normality_and_homogeneity_of_covariance_matri;Multivariate normality and homogeneity of covariance matrices;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, Q-Q plots, residual plots, and outliers;OK;;;;
Mean / median / variance tests;mannWhitney;Mann-Whitney U test;mannWhitney.two_independent_groups;Two independent groups;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Mean / median / variance tests;mannWhitney;Mann-Whitney U test;mannWhitney.at_least_ordinal_outcome;At least ordinal outcome;The values must at least have a meaningful order. The exact distance between adjacent response categories does not need to be equal, which is why rank-based or ordinal models can be more appropriate than mean-based tests.;OK;;;;
Mean / median / variance tests;mannWhitney;Mann-Whitney U test;mannWhitney.similar_distribution_shapes_for_location_interpretation;Similar distribution shapes for location interpretation;The model family should match the outcome scale and data-generating process, such as cumulative links for ordinal outcomes.;OK;;;;
ANOVA / covariance models;manova;MANOVA;manova.two_or_more_metric_dependent_variables;Two or more metric dependent variables;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
ANOVA / covariance models;manova;MANOVA;manova.one_or_more_categorical_independent_variables;One or more categorical independent variables;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
ANOVA / covariance models;manova;MANOVA;manova.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
ANOVA / covariance models;manova;MANOVA;manova.multivariate_normality_within_groups;Multivariate normality within groups;The relevant distribution should be approximately normal, usually within groups or for residuals rather than for the raw pooled data. Inspect histograms, Q-Q plots, residual plots, and outliers;OK;;;;
ANOVA / covariance models;manova;MANOVA;manova.homogeneity_of_covariance_matrices;Homogeneity of covariance matrices;Groups should have broadly similar covariance matrices among the dependent variables or predictors. Large differences can make multivariate tests or discriminant functions unstable, especially with small or unequal group sizes. Use Box's M test to evaluate the null hypothesis that the variance-covariance matrices of the dependent variables are equal across all groups. ;OK;;;;
ANOVA / covariance models;manova;MANOVA;manova.meaningful_correlations_among_dependent_variables;Meaningful correlations among dependent variables;"Variables should share enough common information for dimension reduction or latent structure to be meaningful. 
The dependent variables should be moderately correlated (typically between 0.3 and 0.8). Very weak correlations suggest little shared structure. If dependent variables are too highly correlated, they become redundant and violate MANOVA’s multicollinearity assumption.
";OK;;;;
Association / frequency tests;mcnemar;McNemar test;mcnemar.two_paired_dichotomous_measurements;Two paired dichotomous measurements;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Association / frequency tests;mcnemar;McNemar test;mcnemar.paired_data;Paired data;Measurements must be correctly linked within the same person, object, team, study, or matched pair. The analysis uses these links, so missing or incorrectly matched rows can change both the estimate and the standard error.;OK;;;;
Association / frequency tests;mcnemar;McNemar test;mcnemar.discordant_pairs_are_relevant;Discordant pairs are relevant;"For McNemar test, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.
McNemar's Test focuses exclusively on the discordant pairs, those participants who changed their response. Use those values to calculate the Odds ratio.";OK;;;;
Meta-analysis;metaMeanDifferenceAnalysis;Mean-difference meta-analysis;metaMeanDifferenceAnalysis.n_m_and_sd_available_for_each_group;n, M, and SD available for each group;For Mean-difference meta-analysis, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Meta-analysis;metaMeanDifferenceAnalysis;Mean-difference meta-analysis;metaMeanDifferenceAnalysis.groups_and_measurement_scales_are_comparable;Groups and measurement scales are comparable;"For Mean-difference meta-analysis, this condition should be checked against the research design, variable coding, descriptive statistics, before relying on the result.
Be sure if the study design is within or between participants before combining different studies into the meta analysis.";OK;;;;
Meta-analysis;metaMeanDifferenceAnalysis;Mean-difference meta-analysis;metaMeanDifferenceAnalysis.moderator_and_study_label_can_be_added;Moderator and Study Label can be added;For Mean-difference meta-analysis, moderators should be a-priori justified.;OK;;;;
Meta-analysis;metaMeanDifferenceAnalysis;Mean-difference meta-analysis;metaMeanDifferenceAnalysis.select_fixed_random_effects_moderator_analyses_and_publica;Select fixed/random effects (depeding on the heterogenity expected), moderator analyses, and publication-bias checks in the model options;The data contain grouping structures such as repeated measures within participants or athletes within teams. The random-effect structure should match the design question and should be supported by enough clusters and observations per cluster.;OK;;;;
Meta-analysis;majorMetaAnalysis;Meta-analysis;majorMetaAnalysis.several_independent_studies_or_effect_sizes;Several independent studies or effect sizes;One observation should not determine or duplicate another unless the method explicitly models that dependence. If several outcomes are obtained from the same sample size, consider to run a multivariate meta-analysis, or combine outcomes in a compositive score (if possible) or choose the main dependant variable of interest.;OK;;;;
Meta-analysis;majorMetaAnalysis;Meta-analysis;majorMetaAnalysis.input_data_match_the_selected_option;Input data match the selected option;For Meta-analysis, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Meta-analysis;majorMetaAnalysis;Meta-analysis;majorMetaAnalysis.justify_fixed_vs_random_effects_from_study_design_and_hete;Justify fixed vs. random effects from study design and heterogeneity;If data contain grouping structures such as repeated measures within participants or athletes within teams, a fixed-effect meta-analysis could be appropiated. The random-effect structure should match the design question and should be supported by enough observations and heterogenity.;OK;;;;
Meta-analysis;majorMetaAnalysis;Meta-analysis;majorMetaAnalysis.report_moderator_analyses_and_publication_bias_checks_as_o;Report moderator analyses and publication-bias checks as optional follow-up analyses;"Publication-bias diagnostics require enough comparable studies and are not definitive. Funnel asymmetry can reflect bias and small study effect, heterogeneity, study quality, or chance.
Consider multiple publication bias methods before reaching a conclusion.";OK;;;;
Meta-analysis;metaRegression;Meta-regression;metaRegression.enough_studies;Enough studies;"For Meta-regression, this condition should be checked against the research design and objetive of the research before relying on the result.
Formally, a meta-analysis can be conducted with as few as two empirical studies. From a practical perspective, however, you may wish to consider broadening its scope—and thereby increasing the number of included studies—to make the analysis more informative and compelling.";OK;;;;
Meta-analysis;metaRegression;Meta-regression;metaRegression.moderator_measured_at_study_level;Moderator measured at study level;For Meta-regression, this condition should be checked against the research design, variable coding, descriptive statistics, and diagnostic plots before relying on the result.;OK;;;;
Meta-analysis;metaRegression;Meta-regression;metaRegression.same_effect_metric;Same effect metric;For Meta-regression, this condition should be checked against the research design and variable coding.;OK;;;;
Meta-analysis;metaRegression;Meta-regression;metaRegression.ecological_interpretation_considered;Ecological interpretation considered;For Meta-regression, this condition should be checked against the research design before relying on the result.;OK;;;;
Other;multidimensionalScaling;Multidimensional scaling;multidimensionalScaling.distance_or_dissimilarity_matrix;Distance or dissimilarity matrix;"The chosen distance or similarity measure should match the meaning of the variables and the research question. Check whether Euclidean, Manhattan, correlation-based, or other distances are most defensible.
 Manhattan distance measures the path along grid lines (like city blocks), Euclidean distance measures the straight-line distance between two points. Manhattan distance might be more suitable for grid-based systems or high-dimensional data, while Euclidean distance might be better for open spaces or continuous data.";OK;;;;
Other;multidimensionalScaling;Multidimensional scaling;multidimensionalScaling.people_or_objects_are_comparable;People or objects are comparable;For Multidimensional scaling, this condition should be checked against the research design, variable coding, and descriptive statistics before relying on the result.;OK;;;;
Other;multidimensionalScaling;Multidimensional scaling;multidimensionalScaling.number_of_dimensions_chosen_using_stress_and_interpretabil;Number of dimensions chosen using stress and interpretability;"For Multidimensional scaling, the goal is to find the simplest configuration that accurately represents the data structure.
Use a Shepard diagram to evaluate the accuracy of dimension and the ""elbow method"" to chose the optimal number of dimensions (a scatter plot with stress on the y-axis and the number of dimensions on the x-axis).";OK;;;;
Other;multidimensionalScaling;Multidimensional scaling;multidimensionalScaling.primarily_an_exploratory_representation;Primarily an exploratory representation;For Multidimensional scaling, helps identify hidden clusters, gradients, and outliers without assuming a normal distribution and MDS can be applied to any arbitrary distance, similarity, or confusion matrix;OK;;;;
Regression / prediction models;multinomialRegression;Multinomial logistic regression;multinomialRegression.multicategory_categorical_outcome;Multicategory categorical outcome;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Regression / prediction models;multinomialRegression;Multinomial logistic regression;multinomialRegression.independent_observations;Independent observations;One observation should not determine or duplicate another unless the method explicitly models that dependence. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;Ok;;;;
Regression / prediction models;multinomialRegression;Multinomial logistic regression;multinomialRegression.Independence of Irrelevant Alternatives.;Independence of Irrelevant Alternatives (IIA);The odds of preferring one category over another must not change if a third category is added or removed;OK;;;;
Regression / prediction models;multinomialRegression;Multinomial logistic regression;multinomialRegression.no_Multicolinearity;No Multicollinearity; Independent variables should not be highly correlated with one another.;OK;;;;
Regression / prediction models;multinomialRegression;Multinomial logistic regression;multinomialRegression.meaningful_reference_category;Meaningful reference category;The baseline category should be substantively meaningful because model coefficients are interpreted relative to it. Record the chosen reference category before reporting odds ratios or contrasts.;OK;;;;
Machine learning / exploratory grouping;naiveBayes;Naive Bayes classifier;naiveBayes.categorical_outcome_variable;Categorical outcome variable;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Machine learning / exploratory grouping;naiveBayes;Naive Bayes classifier;naiveBayes.predictors_are_treated_as_approximately_conditionally_inde;Predictors are treated as approximately conditionally independent;"For Naive Bayes classifier, this condition should be checked against the research design and variable coding.
The algorithm assumes the presence or value of one feature does not influence any other feature, allowing the joint probability to be calculated as the simple product of individual probabilities";OK;;;;
Machine learning / exploratory grouping;naiveBayes;Naive Bayes classifier;naiveBayes.suitable_distribution_for_metric_features;Suitable distribution for metric features;"The model family should match the outcome scale and data-generating process, such as Gaussian for continuous outcomes.
 It assumes that the continuous values associated with each class are distributed according to a bell curve.";OK;;;;
Machine learning / exploratory grouping;naiveBayes;Naive Bayes classifier;naiveBayes.check_predicted_probabilities_with_validation_data;Check predicted probabilities with validation data;"Evaluate predictive models on data not used to fit them. 
The generated probabilities act as relative rankings rather than perfectly calibrated true probabilities.";OK;;;;
